;;;;;PRODUTO;EAN;CÓDIGO;PREÇO RECOMENDADO
DOG DRY;PED DRY 15 KG CORE;JUNIOR;Nacional;10286174;PED DRY FIL 1X15KG RE24;7,90E+12;97307;235,87
DOG DRY;PED DRY 2,7 KG CORE;C&V;Nacional;10286179;PED DRY AD CARNE&VEG 6X2,7KG RE24;7,90E+12;98914;54,9
DOG DRY;PED DRY 2,7 KG CORE;R PEQ;Nacional;10286185;PED DRY AD RP 6X2,7KG RE24;7,90E+12;98911;54,9
DOG DRY;PED DRY 2,7 KG CORE;JUNIOR;Nacional;10286187;PED DRY FIL 6X2,7KG RE24;7,90E+12;98930;54,9
DOG DRY;PED DRY 2,7 KG CORE;CARNE&FRANGO;Nacional;10286190;PED DRY AD CARNE&FRANGO 6X2,7KG RE24;7,90E+12;98933;54,9
DOG DRY;PED DRY 20 KG CORE;R PEQ;Nacional;10286152;PED DRY AD RP 1X20KG RE24;7,90E+12;97068;314,49
DOG DRY;PED DRY 20 KG CORE;C&V;Nacional;10286171;PED DRY AD CARNE&VEG 1X20KG RE24;7,90E+12;97075;314,49
DOG DRY;PED HP DRY 10,1 KG;CARNE E FRANGO;Nacional;10254567;PEDIGREE DRY AD HIGH PRO 10,1KG 2023;7,90E+12;99208;215,99
DOG DRY;PED HP DRY 2,7 KG;CARNE E FRANGO;Nacional;10254565;PEDIGREE DRY AD HIGH PRO 6X2,7KG 2023;7,90E+12;99207;78,9
DOG DRY;PED NE DRY 0,9 KG CARNE;NESSENCIAL AO LEITE;Nacional;60001889;PED NE DRY AD AO LEITE 10X900G RE25;7,90E+12;98989;15,9
DOG DRY;PED NE DRY 0,9 KG CARNE;NESSENCIAL;Nacional;60001895;PED NE DRY AD CARNE 10X900G RE25;7,90E+12;98982;15,9
DOG DRY;PED NE DRY 15 KG CARNE;NESSENCIAL AO LEITE;Nacional;60001890;PED NE DRY AD AO LEITE 15KG RE25;7,90E+12;99044;204,39
DOG DRY;PED NE DRY 15 KG CARNE;NESSENCIAL;Nacional;60001897;PED NE DRY AD CARNE 15KG RE25;7,90E+12;98519;204,39
DOG PCH;CES PCH 0,085 KG;AD CARNE MOLHO;Nacional;10215638;CESAR SCH AD CARNE ASSADA 2X20X85G RE;7,90E+12;97817;4,09
DOG PCH;CES PCH 0,085 KG;AD CORD MOLHO;Nacional;10215640;CESAR SCH AD CORDEIRO ASSADO 2X20X85G RE;7,90E+12;97820;4,09
DOG PCH;CES PCH 0,085 KG;AD FILE MIGNON;Nacional;10215642;CESAR SCH AD FILET MIGNON MO 2X20X85G RE;7,90E+12;97819;4,09
DOG PCH;CES PCH 0,085 KG;AD FRANGO MOLHO;Nacional;10215664;CESAR SCH AD FRANGO MARINADO 2X20X85G RE;7,90E+12;97818;4,09
DOG PCH;CHAMP PCH 0,085 KG;FIL FRANGO;Nacional;10250028;CHAMP SCH FILHOTE FRANGO 2X20X85G 2023;7,90E+12;99190;2,99
DOG PCH;CHAMP PCH 0,085 KG;AD CARNE;Nacional;10250029;CHAMP SCH ADULTO CARNE 2X20X85G 2023;7,90E+12;99191;2,99
DOG PCH;CHAMP PCH 0,085 KG;AD FRANGO;Nacional;10250030;CHAMP SCH ADULTO FRANGO 2X20X85G 2023;7,90E+12;99192;2,99
DOG PCH;OPT DOG PCH 0,1 KG;R PEQ&MINIS CARNE;Nacional;10284034;OPT DOG SACHE AD RP&M CARNE 2X18X100G 24;7,90E+12;99445;3,9
DOG PCH;OPT DOG PCH 0,1 KG;R GR CARNE;Nacional;10284039;OPT DOG SACHE AD RG CARNE 2X18X100 24;7,90E+12;99446;3,9
DOG PCH;OPT DOG PCH 0,1 KG;ADULTOS FRANGO;Nacional;10401139;OPT DOG SACHE AD FRANGO 2X18X100G RE24;7,90E+12;97614;3,9
DOG PCH;OPT DOG PCH 0,1 KG;FILHOTES FRANGO;Nacional;10401140;OPT DOG SACHE FIL FRANGO 2X18X100G RE24;7,90E+12;97613;3,9
DOG PCH;OPT DOG PCH 0,1 KG;R PEQ&MINIS FRANGO;Nacional;10401141;OPT DOG SACHE AD RP&M FGO 2X18X100G 24;7,90E+12;98581;3,9
DOG PCH;OPT DOG PCH 0,1 KG;R PEQ&MINIS FRANGO;Nacional;10254609;BB OPT SCH DOG AD RPM FGO L8P7 2022;7,90E+12;98955;27,28
DOG PCH;PED HP PCH 0,085 KG;CARNE E FRANGO;Nacional;10254555;PED SCH AD HP CARNE FRANGO 2X20X85G 2022;7,90E+12;99046;3,79
DOG PCH;PED HP PCH 0,085 KG;PORCO E CARNE;Nacional;10254558;PED SCH AD HP PORCO CARNE 2X20X85G 2022;7,90E+12;99047;3,79
DOG PCH;PED PCH 0,1 KG;R PEQ CORDEIRO;Nacional;10285635;PED SCH AD RP CORD MOL 2X18X100G RE24;7,90E+12;97721;3,79
DOG PCH;PED PCH 0,1 KG;R PEQ FRANGO;Nacional;10285640;PED SCH AD RP FGO MOL 2X18X100G RE24;7,90E+12;97724;3,79
DOG PCH;PED PCH 0,1 KG;R PEQ CARNE;Nacional;10285643;PED SCH AD RP CARNE MOL 2X18X100G RE24;7,90E+12;97722;3,79
DOG PCH;PED PCH 0,1 KG;FILHOTE FRANGO;Nacional;10285646;PED SCH FILHO FGO MOL 2X18X100G RE24;7,90E+12;97720;3,79
DOG PCH;PED PCH 0,1 KG;SENIOR CARNE;Nacional;10286096;PED SCH SEN CARNE MOLHO 2X18X100G RE24;7,90E+12;97736;3,79
DOG PCH;PED PCH 0,1 KG;FILHOTE CARNE;Nacional;10286099;PED SCH FILHO CARNE MOL 2X18X100G RE24;7,90E+12;97719;3,79
DOG PCH;PED PCH 0,1 KG;RMG CARNE;Nacional;10286102;PED SCH AD RM CARNE MOL 2X18X100G RE24;7,90E+12;97726;3,79
DOG PCH;PED PCH 0,1 KG;FRANGO;Nacional;10286105;PED SCH AD RM FGO MOL 2X18X100G RE24;7,90E+12;97730;3,79
DOG PCH;PED PCH 0,1 KG;R PEQ CARNE;Nacional;10286139;BB PED SCH RP CAR 2X12X100G L12P10 RE24;7,90E+12;97500;37,92
DOG PCH;PED PCH 0,1 KG;R PEQ CARNE;Nacional;10404859;BB PED SCH RP CAR 2X18X100G L18P15 24;7,90E+12;99507;56,88
DOG PCH;PED PCH 0,1 KG;R PEQ FRANGO;Nacional;10404861;BB PED SCH RP FRG 2X18X100G L18P15 24;7,90E+12;99508;56,88
DOG SCKS;OPT DOG SCKS 0,008G;SIS IMUN;Nacional;60010012;OPT DOG C&T SIS IMUN 34X80G 2025;7,90E+12;99800;8,9
DOG SCKS;OPT DOG SCKS 0,008G;PELE & PELO;Nacional;60010014;OPT DOG C&T PELE & PELO 34X80G 2025;7,90E+12;99801;8,9
DOG SCKS;PED DTX SCKS 0,045 KG;DENTASTICS;Importação;10229969;PED DENTASTIX R PEQ 3 STICKS 18X45G PH1;7,90E+12;99320;11,9
DOG SCKS;PED DTX SCKS 0,077 KG;DENTASTICS;Importação;10229971;PED DENTASTIX R MED 3 STICKS 18X77G PH1;7,90E+12;99323;13,9
DOG SCKS;PED DTX SCKS 0,11 KG;DENTASTICS;Importação;10229970;PED DENTASTIX R PEQ 7STICKS 10X110G PH1;7,90E+12;99321;20,9
DOG SCKS;PED DTX SCKS 0,18 KG;DENTASTICS;Importação;10229972;PED DENTASTIX R MED 7STICKS 10X180G PH1;7,90E+12;99324;28,5
